Cost Center,Budget Orgn,Budget Unit,Account,Account Title,2020-2021 Actual,2021-2022 Actual,2022-2023 Budget,2022-2023 FTE,2023-2024 Proposed,2023-2024 FTE,2023-2024 Approved,2023-2024 Adopted,Fund,Fund Title
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,410.0,CONSUMB SUP MAT,0.0,719.56,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002160001320000 - OTH STU TREATMENT SRV/SPD,100-2160-001-320,313.0,STUDENT SERVICES,51636.51,0.0,20000.0,0.0,140307.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002219001000000 - OTH IMPRVT INSTR SRVS,100-2219-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002219001575000 - SUPT PROG SUPPORT,100-2219-001-575,410.0,CONSUMB SUP MAT,0.0,16932.67,7366.62,0.0,100000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002219001575000 - SUPT PROG SUPPORT,100-2219-001-575,640.0,DUES AND FEES,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002230001000000 - ASSESSMENT & TESTING,100-2230-001-000,311.0,INSTR SRVS - SUBS,0.0,0.0,3800.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002240001000000 - INSTRUCTIONAL STAFF DEV,100-2240-001-000,410.0,CONSUMB SUP MAT,0.0,1949.31,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,114.0,MGR/CONFIDENTIAL,11854.6,12505.55,12814.25,0.25,14072.75,0.25,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,131.0,PREMIUM PAY,0.0,745.95,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,211.0,PERS EMPLOYER CONTRIBUTN,795.96,583.09,1626.12,0.0,612.6,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,212.0,PERS PICK-UP,787.55,795.08,955.63,0.0,835.37,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,213.0,PERS UAL SERIES 2002,943.62,773.91,875.89,0.0,813.09,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,214.0,PERS UAL SERIES 2003,893.96,1081.33,717.24,0.0,1136.1,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,220.0,SOC SEC ADMIN,983.14,998.24,1005.92,0.0,1046.33,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,231.0,WRKRS COMP,48.7,48.04,70.48,0.0,153.15,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,233.0,PFMLI,0.0,0.0,51.26,0.0,562.91,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,241.0,MED-DEN-VIS,5503.6,5290.94,5400.0,0.0,6480.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,318.0,PROF DEV/NON-INSTRUCTTION,70.0,759.0,1000.0,0.0,1000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,340.0,TRAVEL,232.35,0.0,1500.0,0.0,1500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,353.0,POSTAGE,1206.48,0.0,1500.0,0.0,1500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,355.0,PRINTING BINDING,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,381.0,AUDIT SERVICES,34605.0,0.0,35000.0,0.0,30000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,382.0,LEGAL SERVICES,9226.0,2818.0,15300.0,0.0,11500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,388.0,ELECTION,2598.99,0.0,5000.0,0.0,5000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,389.0,OTHER NON-INSTR PROF/TECH,-1217.0,37025.0,7000.0,0.0,7000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,410.0,CONSUMB SUP MAT,30.0,1031.56,3100.0,0.0,3100.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,440.0,PERIODICALS,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,460.0,NONCONSUM ITEMS,10800.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,470.0,COMPUTER SOFTWARE,1795.0,2700.0,1500.0,0.0,1500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,640.0,DUES AND FEES,10216.41,5138.85,10000.0,0.0,10000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,112.0,CLASS SALARIES,0.0,0.0,0.0,0.0,16255.44,0.5,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,113.0,ADMINISTRATORS,135874.19,143600.0,146460.0,1.0,165600.0,1.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,114.0,MGR/CONFIDENTIAL,35563.47,37516.52,38442.75,0.75,42218.25,0.75,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,211.0,PERS EMPLOYER CONTRIBUTN,17670.69,12435.1,23463.99,0.0,14944.54,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,212.0,PERS PICK-UP,2315.04,2251.02,13789.24,0.0,13381.43,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,213.0,PERS UAL SERIES 2002,6953.15,10577.13,12638.63,0.0,13024.59,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,214.0,PERS UAL SERIES 2003,4512.35,14779.1,10349.46,0.0,18198.73,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,220.0,SOC SEC ADMIN,12731.03,13464.54,14514.46,0.0,16760.75,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,231.0,WRKRS COMP,577.6,619.46,1016.97,0.0,2453.26,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,233.0,PFMLI,0.0,0.0,739.61,0.0,8962.95,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,241.0,MED-DEN-VIS,32542.34,36364.26,37800.0,0.0,58561.51,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,242.0,OTHER CONTRACTED BENES,0.0,8580.0,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,318.0,PROF DEV/NON-INSTRUCTTION,1067.0,-81.0,2000.0,0.0,2000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,340.0,TRAVEL,583.3,366.5,3500.0,0.0,3500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,353.0,POSTAGE,1279.77,892.84,1500.0,0.0,1500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,355.0,PRINTING BINDING,0.0,340.98,600.0,0.0,600.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,389.0,OTHER NON-INSTR PROF/TECH,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,410.0,CONSUMB SUP MAT,1511.98,9697.44,4000.0,0.0,7000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,440.0,PERIODICALS,287.0,188.0,1500.0,0.0,500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,460.0,NONCONSUM ITEMS,0.0,0.0,1500.0,0.0,1500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,470.0,COMPUTER SOFTWARE,483.32,280.0,6000.0,0.0,3000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,480.0,COMPUTER HARDWARE,1502.46,0.0,2000.0,0.0,2000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002321001000000 - OFFICE SUPT,100-2321-001-000,640.0,DUES AND FEES,1494.0,2930.0,2800.0,0.0,2800.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002510001000000 - DIR BUSINESS SERVICES,100-2510-001-000,114.0,MGR/CONFIDENTIAL,65878.33,57972.32,80160.0,1.0,87498.0,1.0,0.0,0.0,100,GENERAL FUND
001,1002510001000000 - DIR BUSINESS SERVICES,100-2510-001-000,211.0,PERS EMPLOYER CONTRIBUTN,7733.93,3621.66,10172.23,0.0,3823.51,0.0,0.0,0.0,100,GENERAL FUND
001,1002510001000000 - DIR BUSINESS SERVICES,100-2510-001-000,212.0,PERS PICK-UP,3952.71,3478.35,5977.98,0.0,5213.88,0.0,0.0,0.0,100,GENERAL FUND
001,1002510001000000 - DIR BUSINESS SERVICES,100-2510-001-000,213.0,PERS UAL SERIES 2002,4595.34,3385.6,5479.16,0.0,5074.84,0.0,0.0,0.0,100,GENERAL FUND
001,1002510001000000 - DIR BUSINESS SERVICES,100-2510-001-000,214.0,PERS UAL SERIES 2003,4627.65,4730.56,4486.75,0.0,7090.88,0.0,0.0,0.0,100,GENERAL FUND
001,1002510001000000 - DIR BUSINESS SERVICES,100-2510-001-000,220.0,SOC SEC ADMIN,4795.77,4316.34,6292.56,0.0,6530.59,0.0,0.0,0.0,100,GENERAL FUND
001,1002510001000000 - DIR BUSINESS SERVICES,100-2510-001-000,231.0,WRKRS COMP,232.5,191.42,440.88,0.0,955.88,0.0,0.0,0.0,100,GENERAL FUND
001,1002510001000000 - DIR BUSINESS SERVICES,100-2510-001-000,233.0,PFMLI,0.0,0.0,320.64,0.0,3499.92,0.0,0.0,0.0,100,GENERAL FUND
001,1002510001000000 - DIR BUSINESS SERVICES,100-2510-001-000,241.0,MED-DEN-VIS,19485.7,14040.78,21600.0,0.0,22680.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002510001000000 - DIR BUSINESS SERVICES,100-2510-001-000,242.0,OTHER CONTRACTED BENES,750.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002510001000000 - DIR BUSINESS SERVICES,100-2510-001-000,318.0,PROF DEV/NON-INSTRUCTTION,32.31,11324.82,1000.0,0.0,2000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002510001000000 - DIR BUSINESS SERVICES,100-2510-001-000,340.0,TRAVEL,0.0,0.0,1500.0,0.0,1500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002510001000000 - DIR BUSINESS SERVICES,100-2510-001-000,410.0,CONSUMB SUP MAT,0.0,55.78,1000.0,0.0,1000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002510001000000 - DIR BUSINESS SERVICES,100-2510-001-000,460.0,NONCONSUM ITEMS,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,114.0,MGR/CONFIDENTIAL,23445.43,30293.11,46062.0,1.0,48335.0,1.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,211.0,PERS EMPLOYER CONTRIBUTN,2459.69,1332.87,5845.23,0.0,2100.34,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,212.0,PERS PICK-UP,1406.75,1817.62,3435.1,0.0,2864.1,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,213.0,PERS UAL SERIES 2002,2311.51,1769.09,3148.47,0.0,2787.72,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,214.0,PERS UAL SERIES 2003,1676.43,2471.95,2578.2,0.0,3895.18,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,220.0,SOC SEC ADMIN,2826.45,2271.44,3615.87,0.0,3587.4,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,231.0,WRKRS COMP,326.11,112.22,253.34,0.0,525.09,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,233.0,PFMLI,0.0,0.0,184.25,0.0,1933.4,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,241.0,MED-DEN-VIS,12187.25,15463.81,21600.0,0.0,22680.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,318.0,PROF DEV/NON-INSTRUCTTION,739.0,1352.53,1000.0,0.0,1000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,322.0,REPAIR & MAINT SERVICE,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,323.0,COPIER LEASE,1299.48,2438.41,1500.0,0.0,2000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,340.0,TRAVEL,46.06,2241.83,2000.0,0.0,2000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,353.0,POSTAGE,2324.45,1149.27,2500.0,0.0,2500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,354.0,ADVERTISING,0.0,0.0,800.0,0.0,800.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,355.0,PRINTING BINDING,1696.42,1019.21,1500.0,0.0,1500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,389.0,OTHER NON-INSTR PROF/TECH,130.54,2925.73,4500.0,0.0,4500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,410.0,CONSUMB SUP MAT,1300.28,580.27,1800.0,0.0,1800.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,460.0,NONCONSUM ITEMS,717.91,0.0,1200.0,0.0,1200.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,470.0,COMPUTER SOFTWARE,10679.88,0.0,6000.0,0.0,10000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002521001000000 - FISCAL,100-2521-001-000,640.0,DUES AND FEES,10027.34,9036.95,10000.0,0.0,10000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002522001000000 - BUDGET,100-2522-001-000,353.0,POSTAGE,19.8,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002522001000000 - BUDGET,100-2522-001-000,354.0,ADVERTISING,1442.99,1245.9,800.0,0.0,1500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002522001000000 - BUDGET,100-2522-001-000,410.0,CONSUMB SUP MAT,342.98,235.91,300.0,0.0,300.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002524001000000 - PAYROLL,100-2524-001-000,114.0,MGR/CONFIDENTIAL,29774.81,29421.84,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002524001000000 - PAYROLL,100-2524-001-000,211.0,PERS EMPLOYER CONTRIBUTN,2839.82,1651.54,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002524001000000 - PAYROLL,100-2524-001-000,212.0,PERS PICK-UP,1786.49,1765.28,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002524001000000 - PAYROLL,100-2524-001-000,213.0,PERS UAL SERIES 2002,0.0,1718.27,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002524001000000 - PAYROLL,100-2524-001-000,214.0,PERS UAL SERIES 2003,0.0,2400.78,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002524001000000 - PAYROLL,100-2524-001-000,220.0,SOC SEC ADMIN,0.0,2195.87,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002524001000000 - PAYROLL,100-2524-001-000,231.0,WRKRS COMP,0.0,101.28,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002524001000000 - PAYROLL,100-2524-001-000,241.0,MED-DEN-VIS,0.0,9141.24,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002524001000000 - PAYROLL,100-2524-001-000,242.0,OTHER CONTRACTED BENES,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002524001000000 - PAYROLL,100-2524-001-000,318.0,PROF DEV/NON-INSTRUCTTION,0.0,93.33,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002524001000000 - PAYROLL,100-2524-001-000,322.0,REPAIR & MAINT SERVICE,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002524001000000 - PAYROLL,100-2524-001-000,340.0,TRAVEL,-458.46,0.0,400.0,0.0,400.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002524001000000 - PAYROLL,100-2524-001-000,353.0,POSTAGE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002524001000000 - PAYROLL,100-2524-001-000,355.0,PRINTING BINDING,0.0,0.0,200.0,0.0,200.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002524001000000 - PAYROLL,100-2524-001-000,389.0,OTHER NON-INSTR PROF/TECH,0.0,0.0,200.0,0.0,200.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002524001000000 - PAYROLL,100-2524-001-000,410.0,CONSUMB SUP MAT,81.81,0.0,800.0,0.0,800.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002524001000000 - PAYROLL,100-2524-001-000,640.0,DUES AND FEES,2088.75,1689.5,1600.0,0.0,1600.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002528001000000 - RISK MGMT SRV,100-2528-001-000,651.0,LIABILITY INS,56340.0,0.0,30000.0,0.0,40000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002529001000000 - OTHER FISCAL SERVICES,100-2529-001-000,640.0,DUES AND FEES,495.0,495.0,3000.0,0.0,3000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002541001000000 - PLANT MGMT,100-2541-001-000,114.0,MGR/CONFIDENTIAL,20079.66,73059.18,91705.0,1.0,91705.0,1.0,0.0,0.0,100,GENERAL FUND
001,1002541001000000 - PLANT MGMT,100-2541-001-000,211.0,PERS EMPLOYER CONTRIBUTN,1921.04,5064.67,11637.28,0.0,4008.62,0.0,0.0,0.0,100,GENERAL FUND
001,1002541001000000 - PLANT MGMT,100-2541-001-000,212.0,PERS PICK-UP,860.1,4046.4,6838.96,0.0,5466.3,0.0,0.0,0.0,100,GENERAL FUND
001,1002541001000000 - PLANT MGMT,100-2541-001-000,213.0,PERS UAL SERIES 2002,934.31,3938.49,6268.3,0.0,5320.53,0.0,0.0,0.0,100,GENERAL FUND
001,1002541001000000 - PLANT MGMT,100-2541-001-000,214.0,PERS UAL SERIES 2003,1245.68,5503.05,5132.95,0.0,7434.17,0.0,0.0,0.0,100,GENERAL FUND
001,1002541001000000 - PLANT MGMT,100-2541-001-000,220.0,SOC SEC ADMIN,1501.18,5573.2,7198.84,0.0,6846.75,0.0,0.0,0.0,100,GENERAL FUND
001,1002541001000000 - PLANT MGMT,100-2541-001-000,231.0,WRKRS COMP,541.65,1951.32,504.38,0.0,1002.16,0.0,0.0,0.0,100,GENERAL FUND
001,1002541001000000 - PLANT MGMT,100-2541-001-000,233.0,PFMLI,0.0,0.0,366.82,0.0,3668.2,0.0,0.0,0.0,100,GENERAL FUND
001,1002541001000000 - PLANT MGMT,100-2541-001-000,241.0,MED-DEN-VIS,4042.45,17356.95,21600.0,0.0,22680.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002541001000000 - PLANT MGMT,100-2541-001-000,318.0,PROF DEV/NON-INSTRUCTTION,998.37,0.0,500.0,0.0,1500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002541001000000 - PLANT MGMT,100-2541-001-000,322.0,REPAIR & MAINT SERVICE,0.0,1500.0,500.0,0.0,500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002541001000000 - PLANT MGMT,100-2541-001-000,340.0,TRAVEL,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002541001000000 - PLANT MGMT,100-2541-001-000,410.0,CONSUMB SUP MAT,3585.9,2325.91,1000.0,0.0,1000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002541001000000 - PLANT MGMT,100-2541-001-000,460.0,NONCONSUM ITEMS,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002541001000000 - PLANT MGMT,100-2541-001-000,640.0,DUES AND FEES,570.0,0.0,1500.0,0.0,1500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002542001000000 - BUILDINGS,100-2542-001-000,131.0,PREMIUM PAY,0.0,5994.54,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002542001000000 - BUILDINGS,100-2542-001-000,211.0,PERS EMPLOYER CONTRIBUTN,0.0,263.77,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002542001000000 - BUILDINGS,100-2542-001-000,212.0,PERS PICK-UP,0.0,359.67,0.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
