Cost Center,Budget Orgn,Budget Unit,Account,Account Title,Fund,Fund Title,Budget Organization Number,Budget Organization Name,Budget Term,Budget Year,Cost Center Name,Amount
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,220.0,SOC SEC ADMIN,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,220.0,SOC SEC ADMIN,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2021-2022 Actual,2021-01-01,District Office,93.45
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,220.0,SOC SEC ADMIN,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2022-2023 Budget,2022-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,220.0,SOC SEC ADMIN,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,231.0,WRKRS COMP,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,231.0,WRKRS COMP,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2021-2022 Actual,2021-01-01,District Office,4.46
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,231.0,WRKRS COMP,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2022-2023 Budget,2022-01-01,District Office,0.0
1.0,1001227001320000 - EXTENDED SCH YR/SPED,100-1227-001-320,231.0,WRKRS COMP,100,GENERAL FUND,1001227001320000,EXTENDED SCH YR/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1001288001000000 - CHARTER SCHOOLS,100-1288-001-000,360.0,CHART SCHOOL PAYMENT,100,GENERAL FUND,1001288001000000,CHARTER SCHOOLS,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1001288001000000 - CHARTER SCHOOLS,100-1288-001-000,360.0,CHART SCHOOL PAYMENT,100,GENERAL FUND,1001288001000000,CHARTER SCHOOLS,2021-2022 Actual,2021-01-01,District Office,0.0
1.0,1001288001000000 - CHARTER SCHOOLS,100-1288-001-000,360.0,CHART SCHOOL PAYMENT,100,GENERAL FUND,1001288001000000,CHARTER SCHOOLS,2022-2023 Budget,2022-01-01,District Office,0.0
1.0,1001288001000000 - CHARTER SCHOOLS,100-1288-001-000,360.0,CHART SCHOOL PAYMENT,100,GENERAL FUND,1001288001000000,CHARTER SCHOOLS,2023-2024 Proposed,2023-01-01,District Office,500000.0
1.0,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,340.0,TRAVEL,100,GENERAL FUND,1002130001000000,HEALTH SRV/NONSPD,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,340.0,TRAVEL,100,GENERAL FUND,1002130001000000,HEALTH SRV/NONSPD,2021-2022 Actual,2021-01-01,District Office,0.0
1.0,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,340.0,TRAVEL,100,GENERAL FUND,1002130001000000,HEALTH SRV/NONSPD,2022-2023 Budget,2022-01-01,District Office,100.0
1.0,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,340.0,TRAVEL,100,GENERAL FUND,1002130001000000,HEALTH SRV/NONSPD,2023-2024 Proposed,2023-01-01,District Office,100.0
1.0,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002130001000000,HEALTH SRV/NONSPD,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002130001000000,HEALTH SRV/NONSPD,2021-2022 Actual,2021-01-01,District Office,0.0
1.0,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002130001000000,HEALTH SRV/NONSPD,2022-2023 Budget,2022-01-01,District Office,1300.0
1.0,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002130001000000,HEALTH SRV/NONSPD,2023-2024 Proposed,2023-01-01,District Office,300.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,111.0,LIC SALARIES,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,78910.79
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,111.0,LIC SALARIES,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Actual,2021-01-01,District Office,79919.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,111.0,LIC SALARIES,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Budget,2022-01-01,District Office,105500.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,111.0,LIC SALARIES,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,131.0,PREMIUM PAY,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,131.0,PREMIUM PAY,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Actual,2021-01-01,District Office,1862.91
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,131.0,PREMIUM PAY,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Budget,2022-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,131.0,PREMIUM PAY,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,211.0,PERS EMPLOYER CONTRIBUTN,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,8479.07
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,211.0,PERS EMPLOYER CONTRIBUTN,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Actual,2021-01-01,District Office,6122.77
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,211.0,PERS EMPLOYER CONTRIBUTN,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Budget,2022-01-01,District Office,13387.86
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,211.0,PERS EMPLOYER CONTRIBUTN,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,212.0,PERS PICK-UP,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,212.0,PERS PICK-UP,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Actual,2021-01-01,District Office,36.75
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,212.0,PERS PICK-UP,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Budget,2022-01-01,District Office,7867.73
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,212.0,PERS PICK-UP,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,213.0,PERS UAL SERIES 2002,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,6249.08
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,213.0,PERS UAL SERIES 2002,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Actual,2021-01-01,District Office,4776.06
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,213.0,PERS UAL SERIES 2002,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Budget,2022-01-01,District Office,7211.22
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,213.0,PERS UAL SERIES 2002,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,214.0,PERS UAL SERIES 2003,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,4799.74
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,214.0,PERS UAL SERIES 2003,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Actual,2021-01-01,District Office,6673.42
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,214.0,PERS UAL SERIES 2003,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Budget,2022-01-01,District Office,5905.09
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,214.0,PERS UAL SERIES 2003,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,220.0,SOC SEC ADMIN,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,5863.09
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,220.0,SOC SEC ADMIN,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Actual,2021-01-01,District Office,6033.52
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,220.0,SOC SEC ADMIN,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Budget,2022-01-01,District Office,8281.75
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,220.0,SOC SEC ADMIN,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,231.0,WRKRS COMP,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,271.43
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,231.0,WRKRS COMP,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Actual,2021-01-01,District Office,278.08
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,231.0,WRKRS COMP,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Budget,2022-01-01,District Office,580.25
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,231.0,WRKRS COMP,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,241.0,MED-DEN-VIS,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,17003.4
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,241.0,MED-DEN-VIS,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Actual,2021-01-01,District Office,17224.68
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,241.0,MED-DEN-VIS,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Budget,2022-01-01,District Office,17804.64
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,241.0,MED-DEN-VIS,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,242.0,OTHER CONTRACTED BENES,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,1000.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,242.0,OTHER CONTRACTED BENES,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Actual,2021-01-01,District Office,1000.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,242.0,OTHER CONTRACTED BENES,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Budget,2022-01-01,District Office,422.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,242.0,OTHER CONTRACTED BENES,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Actual,2021-01-01,District Office,719.56
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Budget,2022-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1002160001320000 - OTH STU TREATMENT SRV/SPD,100-2160-001-320,313.0,STUDENT SERVICES,100,GENERAL FUND,1002160001320000,OTH STU TREATMENT SRV/SPD,2020-2021 Actual,2020-01-01,District Office,51636.51
1.0,1002160001320000 - OTH STU TREATMENT SRV/SPD,100-2160-001-320,313.0,STUDENT SERVICES,100,GENERAL FUND,1002160001320000,OTH STU TREATMENT SRV/SPD,2021-2022 Actual,2021-01-01,District Office,0.0
1.0,1002160001320000 - OTH STU TREATMENT SRV/SPD,100-2160-001-320,313.0,STUDENT SERVICES,100,GENERAL FUND,1002160001320000,OTH STU TREATMENT SRV/SPD,2022-2023 Budget,2022-01-01,District Office,20000.0
1.0,1002160001320000 - OTH STU TREATMENT SRV/SPD,100-2160-001-320,313.0,STUDENT SERVICES,100,GENERAL FUND,1002160001320000,OTH STU TREATMENT SRV/SPD,2023-2024 Proposed,2023-01-01,District Office,140307.0
1.0,1002219001000000 - OTH IMPRVT INSTR SRVS,100-2219-001-000,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002219001000000,OTH IMPRVT INSTR SRVS,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002219001000000 - OTH IMPRVT INSTR SRVS,100-2219-001-000,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002219001000000,OTH IMPRVT INSTR SRVS,2021-2022 Actual,2021-01-01,District Office,0.0
1.0,1002219001000000 - OTH IMPRVT INSTR SRVS,100-2219-001-000,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002219001000000,OTH IMPRVT INSTR SRVS,2022-2023 Budget,2022-01-01,District Office,500.0
1.0,1002219001000000 - OTH IMPRVT INSTR SRVS,100-2219-001-000,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002219001000000,OTH IMPRVT INSTR SRVS,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1002219001575000 - SUPT PROG SUPPORT,100-2219-001-575,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002219001575000,SUPT PROG SUPPORT,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002219001575000 - SUPT PROG SUPPORT,100-2219-001-575,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002219001575000,SUPT PROG SUPPORT,2021-2022 Actual,2021-01-01,District Office,16932.67
1.0,1002219001575000 - SUPT PROG SUPPORT,100-2219-001-575,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002219001575000,SUPT PROG SUPPORT,2022-2023 Budget,2022-01-01,District Office,7366.62
1.0,1002219001575000 - SUPT PROG SUPPORT,100-2219-001-575,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002219001575000,SUPT PROG SUPPORT,2023-2024 Proposed,2023-01-01,District Office,100000.0
1.0,1002219001575000 - SUPT PROG SUPPORT,100-2219-001-575,640.0,DUES AND FEES,100,GENERAL FUND,1002219001575000,SUPT PROG SUPPORT,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002219001575000 - SUPT PROG SUPPORT,100-2219-001-575,640.0,DUES AND FEES,100,GENERAL FUND,1002219001575000,SUPT PROG SUPPORT,2021-2022 Actual,2021-01-01,District Office,100.0
1.0,1002219001575000 - SUPT PROG SUPPORT,100-2219-001-575,640.0,DUES AND FEES,100,GENERAL FUND,1002219001575000,SUPT PROG SUPPORT,2022-2023 Budget,2022-01-01,District Office,0.0
1.0,1002219001575000 - SUPT PROG SUPPORT,100-2219-001-575,640.0,DUES AND FEES,100,GENERAL FUND,1002219001575000,SUPT PROG SUPPORT,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1002230001000000 - ASSESSMENT & TESTING,100-2230-001-000,311.0,INSTR SRVS - SUBS,100,GENERAL FUND,1002230001000000,ASSESSMENT & TESTING,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002230001000000 - ASSESSMENT & TESTING,100-2230-001-000,311.0,INSTR SRVS - SUBS,100,GENERAL FUND,1002230001000000,ASSESSMENT & TESTING,2021-2022 Actual,2021-01-01,District Office,0.0
1.0,1002230001000000 - ASSESSMENT & TESTING,100-2230-001-000,311.0,INSTR SRVS - SUBS,100,GENERAL FUND,1002230001000000,ASSESSMENT & TESTING,2022-2023 Budget,2022-01-01,District Office,3800.0
1.0,1002230001000000 - ASSESSMENT & TESTING,100-2230-001-000,311.0,INSTR SRVS - SUBS,100,GENERAL FUND,1002230001000000,ASSESSMENT & TESTING,2023-2024 Proposed,2023-01-01,District Office,0.0
1.0,1002240001000000 - INSTRUCTIONAL STAFF DEV,100-2240-001-000,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002240001000000,INSTRUCTIONAL STAFF DEV,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002240001000000 - INSTRUCTIONAL STAFF DEV,100-2240-001-000,410.0,CONSUMB SUP MAT,100,GENERAL FUND,1002240001000000,INSTRUCTIONAL STAFF DEV,2021-2022 Actual,2021-01-01,District Office,1949.31
