Cost Center,Budget Orgn,Budget Unit,Account,Account Title,2021-2022 FTE,2022-2023 FTE,2022-2023 Approved,2022-2023 Adopted,Fund,Fund Title,Budget Organization Number,Budget Organization Name,Budget Term,Budget Year,Cost Center Name,Amount
1.0,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,340.0,TRAVEL,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002130001000000,HEALTH SRV/NONSPD,2021-2022 Budget,2021-01-01,District Office,100.0
1.0,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,340.0,TRAVEL,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002130001000000,HEALTH SRV/NONSPD,2022-2023 Proposed,2022-01-01,District Office,100.0
1.0,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002130001000000,HEALTH SRV/NONSPD,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002130001000000,HEALTH SRV/NONSPD,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002130001000000,HEALTH SRV/NONSPD,2021-2022 Budget,2021-01-01,District Office,1300.0
1.0,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002130001000000,HEALTH SRV/NONSPD,2022-2023 Proposed,2022-01-01,District Office,1300.0
1.0,1002140001320000 - PSYCHOLOGICAL SRV/SPED,100-2140-001-320,319.0,INSTR/PROF/TECH SRVS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002140001320000,PSYCHOLOGICAL SRV/SPED,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1002140001320000 - PSYCHOLOGICAL SRV/SPED,100-2140-001-320,319.0,INSTR/PROF/TECH SRVS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002140001320000,PSYCHOLOGICAL SRV/SPED,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002140001320000 - PSYCHOLOGICAL SRV/SPED,100-2140-001-320,319.0,INSTR/PROF/TECH SRVS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002140001320000,PSYCHOLOGICAL SRV/SPED,2021-2022 Budget,2021-01-01,District Office,25000.0
1.0,1002140001320000 - PSYCHOLOGICAL SRV/SPED,100-2140-001-320,319.0,INSTR/PROF/TECH SRVS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002140001320000,PSYCHOLOGICAL SRV/SPED,2022-2023 Proposed,2022-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,111.0,LIC SALARIES,0.0,1.5,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2019-2020 Actual,2019-01-01,District Office,76344.19
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,111.0,LIC SALARIES,0.0,1.5,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,78910.79
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,111.0,LIC SALARIES,0.0,1.5,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Budget,2021-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,111.0,LIC SALARIES,0.0,1.5,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Proposed,2022-01-01,District Office,105500.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,211.0,PERS EMPLOYER CONTRIBUTN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2019-2020 Actual,2019-01-01,District Office,9957.93
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,211.0,PERS EMPLOYER CONTRIBUTN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,8479.07
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,211.0,PERS EMPLOYER CONTRIBUTN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Budget,2021-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,211.0,PERS EMPLOYER CONTRIBUTN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Proposed,2022-01-01,District Office,13387.86
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,212.0,PERS PICK-UP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,212.0,PERS PICK-UP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,212.0,PERS PICK-UP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Budget,2021-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,212.0,PERS PICK-UP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Proposed,2022-01-01,District Office,7867.73
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,213.0,PERS UAL SERIES 2002,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2019-2020 Actual,2019-01-01,District Office,4654.11
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,213.0,PERS UAL SERIES 2002,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,6249.08
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,213.0,PERS UAL SERIES 2002,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Budget,2021-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,213.0,PERS UAL SERIES 2002,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Proposed,2022-01-01,District Office,7211.22
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,214.0,PERS UAL SERIES 2003,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2019-2020 Actual,2019-01-01,District Office,6205.55
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,214.0,PERS UAL SERIES 2003,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,4799.74
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,214.0,PERS UAL SERIES 2003,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Budget,2021-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,214.0,PERS UAL SERIES 2003,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Proposed,2022-01-01,District Office,5905.09
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,220.0,SOC SEC ADMIN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2019-2020 Actual,2019-01-01,District Office,5717.39
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,220.0,SOC SEC ADMIN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,5863.09
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,220.0,SOC SEC ADMIN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Budget,2021-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,220.0,SOC SEC ADMIN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Proposed,2022-01-01,District Office,8281.75
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,231.0,WRKRS COMP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2019-2020 Actual,2019-01-01,District Office,312.93
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,231.0,WRKRS COMP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,271.43
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,231.0,WRKRS COMP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Budget,2021-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,231.0,WRKRS COMP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Proposed,2022-01-01,District Office,580.25
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,241.0,MED-DEN-VIS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2019-2020 Actual,2019-01-01,District Office,16148.04
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,241.0,MED-DEN-VIS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,17003.4
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,241.0,MED-DEN-VIS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Budget,2021-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,241.0,MED-DEN-VIS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Proposed,2022-01-01,District Office,17804.64
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,242.0,OTHER CONTRACTED BENES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2019-2020 Actual,2019-01-01,District Office,1000.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,242.0,OTHER CONTRACTED BENES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2020-2021 Actual,2020-01-01,District Office,1000.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,242.0,OTHER CONTRACTED BENES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2021-2022 Budget,2021-01-01,District Office,0.0
1.0,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,242.0,OTHER CONTRACTED BENES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002150001320000,SPEECH-AUDIOLOGY SRV/SPED,2022-2023 Proposed,2022-01-01,District Office,422.0
1.0,1002160001320000 - OTH STU TREATMENT SRV/SPD,100-2160-001-320,313.0,STUDENT SERVICES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002160001320000,OTH STU TREATMENT SRV/SPD,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1002160001320000 - OTH STU TREATMENT SRV/SPD,100-2160-001-320,313.0,STUDENT SERVICES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002160001320000,OTH STU TREATMENT SRV/SPD,2020-2021 Actual,2020-01-01,District Office,51636.51
1.0,1002160001320000 - OTH STU TREATMENT SRV/SPD,100-2160-001-320,313.0,STUDENT SERVICES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002160001320000,OTH STU TREATMENT SRV/SPD,2021-2022 Budget,2021-01-01,District Office,40000.0
1.0,1002160001320000 - OTH STU TREATMENT SRV/SPD,100-2160-001-320,313.0,STUDENT SERVICES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002160001320000,OTH STU TREATMENT SRV/SPD,2022-2023 Proposed,2022-01-01,District Office,20000.0
1.0,1002219001000000 - OTH IMPRVT INSTR SRVS,100-2219-001-000,319.0,INSTR/PROF/TECH SRVS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002219001000000,OTH IMPRVT INSTR SRVS,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1002219001000000 - OTH IMPRVT INSTR SRVS,100-2219-001-000,319.0,INSTR/PROF/TECH SRVS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002219001000000,OTH IMPRVT INSTR SRVS,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002219001000000 - OTH IMPRVT INSTR SRVS,100-2219-001-000,319.0,INSTR/PROF/TECH SRVS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002219001000000,OTH IMPRVT INSTR SRVS,2021-2022 Budget,2021-01-01,District Office,25000.0
1.0,1002219001000000 - OTH IMPRVT INSTR SRVS,100-2219-001-000,319.0,INSTR/PROF/TECH SRVS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002219001000000,OTH IMPRVT INSTR SRVS,2022-2023 Proposed,2022-01-01,District Office,0.0
1.0,1002219001000000 - OTH IMPRVT INSTR SRVS,100-2219-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002219001000000,OTH IMPRVT INSTR SRVS,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1002219001000000 - OTH IMPRVT INSTR SRVS,100-2219-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002219001000000,OTH IMPRVT INSTR SRVS,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002219001000000 - OTH IMPRVT INSTR SRVS,100-2219-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002219001000000,OTH IMPRVT INSTR SRVS,2021-2022 Budget,2021-01-01,District Office,500.0
1.0,1002219001000000 - OTH IMPRVT INSTR SRVS,100-2219-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002219001000000,OTH IMPRVT INSTR SRVS,2022-2023 Proposed,2022-01-01,District Office,500.0
1.0,1002219001575000 - SUPT PROG SUPPORT,100-2219-001-575,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002219001575000,SUPT PROG SUPPORT,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1002219001575000 - SUPT PROG SUPPORT,100-2219-001-575,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002219001575000,SUPT PROG SUPPORT,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002219001575000 - SUPT PROG SUPPORT,100-2219-001-575,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002219001575000,SUPT PROG SUPPORT,2021-2022 Budget,2021-01-01,District Office,50000.0
1.0,1002219001575000 - SUPT PROG SUPPORT,100-2219-001-575,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002219001575000,SUPT PROG SUPPORT,2022-2023 Proposed,2022-01-01,District Office,7366.62
1.0,1002230001000000 - ASSESSMENT & TESTING,100-2230-001-000,311.0,INSTR SRVS - SUBS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002230001000000,ASSESSMENT & TESTING,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1002230001000000 - ASSESSMENT & TESTING,100-2230-001-000,311.0,INSTR SRVS - SUBS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002230001000000,ASSESSMENT & TESTING,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002230001000000 - ASSESSMENT & TESTING,100-2230-001-000,311.0,INSTR SRVS - SUBS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002230001000000,ASSESSMENT & TESTING,2021-2022 Budget,2021-01-01,District Office,3800.0
1.0,1002230001000000 - ASSESSMENT & TESTING,100-2230-001-000,311.0,INSTR SRVS - SUBS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002230001000000,ASSESSMENT & TESTING,2022-2023 Proposed,2022-01-01,District Office,3800.0
1.0,1002310001000000 - BD OF ED,100-2310-001-000,114.0,MGR/CONFIDENTIAL,0.25,0.25,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2019-2020 Actual,2019-01-01,District Office,12071.92
1.0,1002310001000000 - BD OF ED,100-2310-001-000,114.0,MGR/CONFIDENTIAL,0.25,0.25,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2020-2021 Actual,2020-01-01,District Office,11854.6
1.0,1002310001000000 - BD OF ED,100-2310-001-000,114.0,MGR/CONFIDENTIAL,0.25,0.25,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2021-2022 Budget,2021-01-01,District Office,12700.0
1.0,1002310001000000 - BD OF ED,100-2310-001-000,114.0,MGR/CONFIDENTIAL,0.25,0.25,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2022-2023 Proposed,2022-01-01,District Office,12814.25
1.0,1002310001000000 - BD OF ED,100-2310-001-000,211.0,PERS EMPLOYER CONTRIBUTN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2019-2020 Actual,2019-01-01,District Office,1375.78
1.0,1002310001000000 - BD OF ED,100-2310-001-000,211.0,PERS EMPLOYER CONTRIBUTN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2020-2021 Actual,2020-01-01,District Office,795.96
1.0,1002310001000000 - BD OF ED,100-2310-001-000,211.0,PERS EMPLOYER CONTRIBUTN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2021-2022 Budget,2021-01-01,District Office,900.0
1.0,1002310001000000 - BD OF ED,100-2310-001-000,211.0,PERS EMPLOYER CONTRIBUTN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2022-2023 Proposed,2022-01-01,District Office,1626.12
1.0,1002310001000000 - BD OF ED,100-2310-001-000,212.0,PERS PICK-UP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2019-2020 Actual,2019-01-01,District Office,951.8
1.0,1002310001000000 - BD OF ED,100-2310-001-000,212.0,PERS PICK-UP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2020-2021 Actual,2020-01-01,District Office,787.55
1.0,1002310001000000 - BD OF ED,100-2310-001-000,212.0,PERS PICK-UP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2021-2022 Budget,2021-01-01,District Office,800.0
1.0,1002310001000000 - BD OF ED,100-2310-001-000,212.0,PERS PICK-UP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2022-2023 Proposed,2022-01-01,District Office,955.63
1.0,1002310001000000 - BD OF ED,100-2310-001-000,213.0,PERS UAL SERIES 2002,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2019-2020 Actual,2019-01-01,District Office,952.71
1.0,1002310001000000 - BD OF ED,100-2310-001-000,213.0,PERS UAL SERIES 2002,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2020-2021 Actual,2020-01-01,District Office,943.62
1.0,1002310001000000 - BD OF ED,100-2310-001-000,213.0,PERS UAL SERIES 2002,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2021-2022 Budget,2021-01-01,District Office,800.0
1.0,1002310001000000 - BD OF ED,100-2310-001-000,213.0,PERS UAL SERIES 2002,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2022-2023 Proposed,2022-01-01,District Office,875.89
1.0,1002310001000000 - BD OF ED,100-2310-001-000,214.0,PERS UAL SERIES 2003,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2019-2020 Actual,2019-01-01,District Office,1270.27
1.0,1002310001000000 - BD OF ED,100-2310-001-000,214.0,PERS UAL SERIES 2003,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2020-2021 Actual,2020-01-01,District Office,893.96
1.0,1002310001000000 - BD OF ED,100-2310-001-000,214.0,PERS UAL SERIES 2003,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2021-2022 Budget,2021-01-01,District Office,1100.0
1.0,1002310001000000 - BD OF ED,100-2310-001-000,214.0,PERS UAL SERIES 2003,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2022-2023 Proposed,2022-01-01,District Office,717.24
1.0,1002310001000000 - BD OF ED,100-2310-001-000,220.0,SOC SEC ADMIN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2019-2020 Actual,2019-01-01,District Office,1182.98
1.0,1002310001000000 - BD OF ED,100-2310-001-000,220.0,SOC SEC ADMIN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2020-2021 Actual,2020-01-01,District Office,983.14
1.0,1002310001000000 - BD OF ED,100-2310-001-000,220.0,SOC SEC ADMIN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2021-2022 Budget,2021-01-01,District Office,1000.0
1.0,1002310001000000 - BD OF ED,100-2310-001-000,220.0,SOC SEC ADMIN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2022-2023 Proposed,2022-01-01,District Office,1005.92
1.0,1002310001000000 - BD OF ED,100-2310-001-000,231.0,WRKRS COMP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2019-2020 Actual,2019-01-01,District Office,66.58
1.0,1002310001000000 - BD OF ED,100-2310-001-000,231.0,WRKRS COMP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2020-2021 Actual,2020-01-01,District Office,48.7
1.0,1002310001000000 - BD OF ED,100-2310-001-000,231.0,WRKRS COMP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2021-2022 Budget,2021-01-01,District Office,100.0
1.0,1002310001000000 - BD OF ED,100-2310-001-000,231.0,WRKRS COMP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2022-2023 Proposed,2022-01-01,District Office,70.48
1.0,1002310001000000 - BD OF ED,100-2310-001-000,233.0,PFMLI,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1002310001000000 - BD OF ED,100-2310-001-000,233.0,PFMLI,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002310001000000 - BD OF ED,100-2310-001-000,233.0,PFMLI,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002310001000000,BD OF ED,2021-2022 Budget,2021-01-01,District Office,100.0
